ID,Image_Entree,Image_Sortie,Label_Num_Entree,Label_Nom_Entree,Label_Num_Sortie,Label_Nom_Sortie
286008,286008.jpg,286008_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
458679,458679.jpg,458679_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
134968,134968.jpg,134968_output.jpg,2,Coprinus comatus,2,Coprinus comatus
333550,333550.jpg,333550_output.jpg,8,Pluteus cervinus,8,Pluteus cervinus
428572,428572.jpg,428572_output.jpg,3,Fuligo septica,3,Fuligo septica
337524,337524.jpg,337524_output.jpg,0,Amanita phalloides,0,Amanita phalloides
510344,510344.jpg,510344_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
226632,226632.jpg,226632_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
616798,616798.jpg,616798_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
398500,398500.jpg,398500_output.jpg,4,Galerina marginata,4,Galerina marginata
255978,255978.jpg,255978_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
371139,371139.jpg,371139_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
657226,657226.jpg,657226_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
275505,275505.jpg,275505_output.jpg,2,Coprinus comatus,2,Coprinus comatus
462349,462349.jpg,462349_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
111884,111884.jpg,111884_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
290762,290762.jpg,290762_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
364401,364401.jpg,364401_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
300053,300053.jpg,300053_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
109940,109940.jpg,109940_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
445118,445118.jpg,445118_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
365341,365341.jpg,365341_output.jpg,3,Fuligo septica,3,Fuligo septica
420469,420469.jpg,420469_output.jpg,3,Fuligo septica,3,Fuligo septica
275229,275229.jpg,275229_output.jpg,2,Coprinus comatus,2,Coprinus comatus
564986,564986.jpg,564986_output.jpg,4,Galerina marginata,4,Galerina marginata
140092,140092.jpg,140092_output.jpg,4,Galerina marginata,4,Galerina marginata
279779,279779.jpg,279779_output.jpg,5,Hypholoma fasciculare,6,Laetiporus sulphureus
278281,278281.jpg,278281_output.jpg,2,Coprinus comatus,2,Coprinus comatus
298522,298522.jpg,298522_output.jpg,5,Hypholoma fasciculare,1,Coprinellus micaceus
360450,360450.jpg,360450_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
310733,310733.jpg,310733_output.jpg,1,Coprinellus micaceus,1,Coprinellus micaceus
520209,520209.jpg,520209_output.jpg,1,Coprinellus micaceus,1,Coprinellus micaceus
317644,317644.jpg,317644_output.jpg,1,Coprinellus micaceus,1,Coprinellus micaceus
75072,75072.jpg,75072_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
85099,85099.jpg,85099_output.jpg,4,Galerina marginata,4,Galerina marginata
186242,186242.jpg,186242_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
504963,504963.jpg,504963_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
273289,273289.jpg,273289_output.jpg,3,Fuligo septica,3,Fuligo septica
147046,147046.jpg,147046_output.jpg,7,Pleurotus ostreatus,5,Hypholoma fasciculare
192335,192335.jpg,192335_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
304241,304241.jpg,304241_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
278467,278467.jpg,278467_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
86926,86926.jpg,86926_output.jpg,8,Pluteus cervinus,7,Pleurotus ostreatus
107130,107130.jpg,107130_output.jpg,2,Coprinus comatus,2,Coprinus comatus
284698,284698.jpg,284698_output.jpg,1,Coprinellus micaceus,1,Coprinellus micaceus
667859,667859.jpg,667859_output.jpg,8,Pluteus cervinus,8,Pluteus cervinus
619778,619778.jpg,619778_output.jpg,4,Galerina marginata,4,Galerina marginata
116230,116230.jpg,116230_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
124381,124381.jpg,124381_output.jpg,4,Galerina marginata,4,Galerina marginata
602035,602035.jpg,602035_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
74801,74801.jpg,74801_output.jpg,4,Galerina marginata,4,Galerina marginata
292688,292688.jpg,292688_output.jpg,4,Galerina marginata,4,Galerina marginata
295444,295444.jpg,295444_output.jpg,4,Galerina marginata,4,Galerina marginata
592152,592152.jpg,592152_output.jpg,0,Amanita phalloides,0,Amanita phalloides
293059,293059.jpg,293059_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
313012,313012.jpg,313012_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
123049,123049.jpg,123049_output.jpg,4,Galerina marginata,4,Galerina marginata
128437,128437.jpg,128437_output.jpg,4,Galerina marginata,4,Galerina marginata
78339,78339.jpg,78339_output.jpg,2,Coprinus comatus,2,Coprinus comatus
569361,569361.jpg,569361_output.jpg,2,Coprinus comatus,2,Coprinus comatus
512199,512199.jpg,512199_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
665388,665388.jpg,665388_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
691004,691004.jpg,691004_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
120143,120143.jpg,120143_output.jpg,7,Pleurotus ostreatus,2,Coprinus comatus
153483,153483.jpg,153483_output.jpg,8,Pluteus cervinus,8,Pluteus cervinus
580974,580974.jpg,580974_output.jpg,2,Coprinus comatus,2,Coprinus comatus
56773,56773.jpg,56773_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
581103,581103.jpg,581103_output.jpg,4,Galerina marginata,4,Galerina marginata
180798,180798.jpg,180798_output.jpg,4,Galerina marginata,4,Galerina marginata
78441,78441.jpg,78441_output.jpg,2,Coprinus comatus,2,Coprinus comatus
63809,63809.jpg,63809_output.jpg,4,Galerina marginata,4,Galerina marginata
626463,626463.jpg,626463_output.jpg,8,Pluteus cervinus,8,Pluteus cervinus
136773,136773.jpg,136773_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
674694,674694.jpg,674694_output.jpg,7,Pleurotus ostreatus,7,Pleurotus ostreatus
168325,168325.jpg,168325_output.jpg,6,Laetiporus sulphureus,6,Laetiporus sulphureus
382733,382733.jpg,382733_output.jpg,2,Coprinus comatus,2,Coprinus comatus
688364,688364.jpg,688364_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
343378,343378.jpg,343378_output.jpg,9,Schizophyllum commune,9,Schizophyllum commune
687791,687791.jpg,687791_output.jpg,2,Coprinus comatus,2,Coprinus comatus
339593,339593.jpg,339593_output.jpg,2,Coprinus comatus,2,Coprinus comatus
604603,604603.jpg,604603_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
667255,667255.jpg,667255_output.jpg,2,Coprinus comatus,2,Coprinus comatus
680619,680619.jpg,680619_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
587887,587887.jpg,587887_output.jpg,5,Hypholoma fasciculare,5,Hypholoma fasciculare
666604,666604.jpg,666604_output.jpg,1,Coprinellus micaceus,1,Coprinellus micaceus
231091,231091.jpg,231091_output.jpg,1,Coprinellus micaceus,1,Coprinellus micaceus
274066,274066.jpg,274066_output.jpg,2,Coprinus comatus,2,Coprinus comatus
